1980_2Ronnies,The Two Ronnies,0-41,Ronnie Corbett,27-41,Sitcom,14-19
1980_Hecules-recaptured, Octopussy,12-40, Hercules (Bear),0-40
1980_IranEmbassy,Iranian Embassy Seige,0-30,Jan Leeming,11-30
1980_Lennon-shot,John Lennon,0-36,The Dakota,12-16,David Chapman,17-20,Yoko Ono,21-36
1981_Charles-diana,Charles Prince of Wales,0-7,Diana Princess of Wales,8-20,Wedding of Charles and Diana,0-31,British Royal Family,0-31
1981_Imagine-tops-UK-chart,John Lennon,24-49,Yoko Ono,7-23
1981_Liverpool-win,Liverpool Football Club,12-25,European Cup,0-12
1981_LondonMarathon,London Marathon,0-40,Greenwich Park,0-23
1981_Murdoch-takes-over-Times,Rupert Murdoch,0-22,The Times,23-39,Media in the United Kingdom,0-44
1981_Royal-wedding,Wedding of Charles and Diana,0-32,British Royal Family,0-32,Angela Rippon,25-32
1981_Sorry,Ronnie Corbett,3-20,Ian Davidson (Scriptwriter),0-64
1981_Toxteth-riots,1981 England Riots,0-38,Toxteth,31-38,Police conduct,10-25,Community tension,0-10
1981_USpres-Reagan-shot,U.S. president,0-31,Attempted assassination of Ronald Reagan,5-22
1981_YorkshireRipper,Serial killer,24-29,Yorkshire Ripper,0-36
1982_Allo-allo, Gorden Kaye,2-22,World War II,30-43
1982_Culture-Club_DoYouReallyWantToHurtMe,Culture Club,0-30,Boy George,11-21, Top of the Pops,0-30
1982_Falklands,Margaret Thatcher,0-30,Falklands War,10-19,Politics of the United Kingdom,0-30
1982_Falklands-War-British-troops,Margaret Thatcher,0-30,Falklands War,0-30,Politics of the United Kingdom,0-30
1982_Higgins-wins-World-Snooker-Championship, John Higgins,13-17, World Snooker Championships,37-41
1982_USwomaninSpace, NASA,0-32,Space shuttle,0-10,Sally Ride,11-32
1982_William-birth, Prince William birth,0-32,Charles Prince of Wales,0-12,Lady Diana Spencer Princess of Wales,13-32,British Royal Family,0-32
1982_WorldCupdraw,1982 World Cup,0-49,Sepp Blatter,7-12
1982_World-Cup-Rossi,1982 World Cup,0-36,Paolo Rossi,5-15
1983_Breakfast-Time,Breakfast television,0-29,Frank Bough,14,Selina Scott,15
1983_Shergar-Kidnapping,Shergar,0-35,Cartier Racing Award,3-6
1983_SteveCram,Steve Cram,45-62,1983 World Championship in Athletics,0-62
1983_Thatcher-reelected,UK General Election 1983,0-7,Margaret Thatcher,19-29,Conservative Party,31-45, Politics of the United Kingdom,0-45
1983_UB40_Red-red-wine,UB40,20-45,Top of the Pops,0-45
1984_Bombing-Brighton,Brighton hotel bomb,0-25,Conservative Party,2-6,Irish Republican Army,22-25
1984_Brighton-bomb,Irish Republican Army,9-15, Conservative Party,17-34,Brighton hotel bomb,0-50
1984_Frankie-goes-to-Hollywood,Frankie Goes to Hollywood,0-17,Top of the Pops,0-30
1984_Gandhi-assassinated,Indira Gandhi,0-30,Prime Minister of India,0-18
1984_GCSEs,General Certificate of Secondary Education,0-48,Secondary education,30-48
1984_Live-Aid-Single,Live Aid,0-44,Bob Geldof,15-25
1984_Miners-strike,Miners Strike 1984,0-64,Arthur Scargill,19-42
1984_Pound-coins,Nigel Lawson,0-18,Bank Of England,0-18
1984_Torville&Dean,Jayne Torvill,0-39,Christopher Dean,0-39, 1984 Summer Olympics,0-39
1984_Waite-frees-hostages-in-Libya,Muammar Gaddafi,10-39,Terry Waite,1-9,1984 Libyan hostage situation,0-39
1984_Yes-Minister, Yes Minister,0-67,Humphrey Appleby,38-49
1985_Are-You-Being-Served, Are You Being Served,0-60,Frank Thornton,19-34
1985_Becker-wins-Wimbledon,Boris Becker,5-11,Kevin Curren,14-17,Wimbledon,19-30
1985_Gorbachev-leader,Mikhail Gorbachev,0-28,Soviet Union,0-28
1985_Live-Aid,Live Aid,0-42,1983 - 1985 Famine in Ethiopia,0-42,Wembley Stadium, 3-5
1985_LiveAid-Bob_Geldof,Live Aid,0-30,Bob Geldof,8-30,Billy Connelly,0-5
1985_Miners-Strike-Ends,Miners Strike,11-43,Arthur Scargill,0-10,Margaret Thatcher,43-71,Politics of the United Kingdom,0-71
1985_QueenLiveAid,Live Aid,0-30,Queen,0-30,Freddie Mercury,0-30
1985_Sinclair-C5,Sinclair C5,0-35,Battery electric vehicles,0-35
1985_Titanic-found,RMS Titanic,0-33,Wreck of the RMS Titanic,9-33
1986_Bananarama-Venus,Bananarama,4-32, Top of the Pops,0-32
1986_Bangles_TOTP,The Bangles,0-35, Top of the Pops,0-35
1986_Blackadder_Lord-Flashheart,Blackadder,0-44,Rik Mayall,0-15
 1986_Challenger-Disaster,Space Shuttle Challenger,0-24,Space shuttle,0-34
1986_Chernobyl,Chernobyl disaster,0-66,Soviet Union,0-10
1986_Eddie-Eagle,Eddie The Eagle Edwards,9-42,Ski Jumping,0-9
1986_England-squad-return,England national football team,0-7, 1986 FIFA World Cup,0-53
1986_GrangeHill,Grange Hill,0-59
1986_Hand-of-God,Diego Maradona,0-10,Peter Shilton,10-15,Argentina vs England 1986 FIFA World Cup,0-27,1986 FIFA World Cup,0-27
1986_Harold-MacMillan,Harold Macmillan,0-28,Conservative party,5-7,Politics of the United Kingdom,0-28
1986_Only-Fools-and-Horses,Only Fools and Horses,0-53,David Jason,1-6,Nicholas Lyndhurst,24-32
1986_Reagan-reacts-challengerexplosion,Ronald Reagan,0-38,Space shuttle,0-38,Space Shuttle Challenger,6-13
1987_BBC-broom-cupboard,CBBC,0-44,Phillip Schofield,0-10
1987_Blackadder_cunningplan,Blackadder,0-42,Rowan Atkinson,0-9,Hugh Laurie,11-14,Tony Robinson,14-19
1987_great-storm,Great Storm of 1987,0-32,Extratropical Cyclone,0-32
1987_Kings-Cross-fire,Kings Cross fire,0-14,Kingâ€™s Cross St Pancras Tube Station,0-14
1987_Loch-Ness-Monster,Loch Ness Monster,0-58, Cryptid,0-58,Loch Ness,0-29
1987_Thatcher-3rd-term,Margaret Thatcher,0-8,Conservative Party,0-8,Politics of the United Kingdom,0-29
1987_Whitney-Houston_I-Wanna-Dance-With-Somebody,Whitney Houston,0-36, Top of the Pops,0-36
1987_Women-Priests,Ordination of women,0-42,Church of England,0-5
1988_BenJohnson,Ben Johnson sprinter,0-6,1988 Seoul Olympics,0-48,Carl Lewis,6-14
1988_Lockerbie,Lockerbie,0-51,Pan Am Flight 103,0-51
1988_Lockerbie-Disaster,Lockerbie,12-24,Pan Am Flight 103,6-12,Muammar Gaddafi,0-30
1988_Piper-Alpha,Piper Alpha,0-39,Occidental Petroleum,11-39
1988_Salmonella,Edwina Curry,0-8,Salmonella,0-45
1989_Berlin-Wall-comes-down,Berlin Wall,0-15,German reunification,0-31
1989_Guildford-Four,Guildford Four and Maguire Seven,0-24,Irish Republican Army,0-24,Police conduct,37-43
1989_Hillsborough,Hillsborough,0-101,Liverpool Football Club,13-33,Nottingham Forest Football Club,36-48
1989_SalmonRushdie_fatwa,Salmon Rushdie,7-11,Ayatollah Khomeini,0-7,Fatwa,16-30
1989_The-Fall-of-the-Berlin-Wall,Berlin Wall,9-24,German reunification,0-24
1989_Tiananmen-Square,Tiananmen Square protests of 1989,12-39,Peking China,0-12
1990_England_lose_to_Germany_on_penalties,1990 World Cup,0-44
1990_Major-PM,Margaret Thatcher,15-19,John Major,0-15,Politics of the United Kingdom,0-51,Conservative Party,22-51
1990_Mandela-free,Nelson Mandela,0-38,Drakenstein Correctional Centre,0-38,F. W. de Klerk,0-38
1990_Nelson-Mandela,Nelson Mandela,24-34,Drakenstein Correctional Centre,10-16,F. W. de Klerk,0-5
1990_One-foot-in-the-grave,One Foot in the grave,0-30,Richard Wilson,0-24
1990_Poll-Tax-riots,Poll Tax Riots,0-44,Margaret Thatcher,0-8,Community Charge,4-15
1990_Thatcher-resigns,Margaret Thatcher,0-23,Conservative Party,12-23,Politics of the United Kingdom,0-23
